Date,Treatment,Group,Direction,Left_before,Left_after
2/26/2020,CC,1,Left ,3,4
2/26/2020,CC,1,Right,3,2
2/26/2020,CC,1,Left ,2,4
2/26/2020,CC,1,Right ,3,4
2/26/2020,CC,1,Left,3,4
2/26/2020,CC,1,Right ,3,2
2/26/2020,CC,1,Left ,2,4
2/26/2020,CC,1,Right ,3,2
2/26/2020,CC,1,Left ,3,4
2/26/2020,CC,1,Right,3,2
2/26/2020,CC,1,Left,2,4
2/26/2020,CC,1,Right,3,3
2/26/2020,CC,2,Left ,2,2
2/26/2020,CC,2,Right,2,4
2/26/2020,CC,2,Left ,3,4
2/26/2020,CC,2,Right ,2,2
2/26/2020,CC,2,Left ,3,4
2/26/2020,CC,2,Right,2,1
2/26/2020,CC,2,Left ,3,3
2/26/2020,CC,2,Right,2,4
2/26/2020,CC,2,Left ,2,3
2/26/2020,CC,2,Right ,3,2
2/26/2020,CC,2,Left ,2,2
2/26/2020,CC,2,Right ,2,3
2/26/2020,CV,3,Left ,2,1
2/26/2020,CV,3,Right ,2,3
2/26/2020,CV,3,Left ,3,2
2/26/2020,CV,3,Right ,3,2
2/26/2020,CV,3,Left ,3,3
2/26/2020,CV,3,Right ,3,1
2/26/2020,CV,3,Left ,3,3
2/26/2020,CV,3,Right ,3,1
2/26/2020,CV,3,Left ,3,1
2/26/2020,CV,3,Right ,3,3
2/26/2020,CV,3,Left ,2,1
2/26/2020,CV,3,Right ,3,2
2/26/2020,CV,4,Left ,2,3
2/26/2020,CV,4,Right,3,3
2/26/2020,CV,4,Left ,2,1
2/26/2020,CV,4,Right ,2,3
2/26/2020,CV,4,Left ,2,4
2/26/2020,CV,4,Right,2,4
2/26/2020,CV,4,Left ,3,4
2/26/2020,CV,4,Right,3,4
2/26/2020,CV,4,Left ,3,4
2/26/2020,CV,4,Right ,2,3
2/26/2020,CV,4,Left,2,3
2/26/2020,CV,4,Right,2,1
2/26/2020,SC,5,Left ,3,2
2/26/2020,SC,5,Right ,2,2
2/26/2020,SC,5,Left ,3,3
2/26/2020,SC,5,Right ,2,3
2/26/2020,SC,5,Left ,3,0
2/26/2020,SC,5,Right,3,3
2/26/2020,SC,5,Left ,3,3
2/26/2020,SC,5,Right,3,1
2/26/2020,SC,5,Left ,3,1
2/26/2020,SC,5,Right,2,3
2/26/2020,SC,5,Left,2,5
2/26/2020,SC,5,Right,3,2
2/26/2020,SC,6,Left ,2,3
2/26/2020,SC,6,Right,3,1
2/26/2020,SC,6,Left ,3,1
2/26/2020,SC,6,Right,2,3
2/26/2020,SC,6,Left ,3,4
2/26/2020,SC,6,Right,2,3
2/26/2020,SC,6,Left ,3,5
2/26/2020,SC,6,Right ,2,2
2/26/2020,SC,6,Left ,2,3
2/26/2020,SC,6,Right,2,3
2/26/2020,SC,6,Left,2,4
2/26/2020,SC,6,Right,3,2
2/26/2020,SV,7,Left,2,4
2/26/2020,SV,7,Right,3,3
2/26/2020,SV,7,Left,2,4
2/26/2020,SV,7,Right,3,5
2/26/2020,SV,7,Left,3,3
2/26/2020,SV,7,Right,3,3
2/26/2020,SV,7,Left,3,3
2/26/2020,SV,7,Right,3,3
2/26/2020,SV,7,Left,2,2
2/26/2020,SV,7,Right,2,2
2/26/2020,SV,7,Left,3,3
2/26/2020,SV,7,Right,3,2
2/26/2020,SV,8,Left,3,4
